"7","9","trial_name","trial_number","key_pressed","correctness","RT","question","picture","type","key1","key2","expected","QUD","pitch","startDate","startTime","experiment_id",
"green or low pitch","red or high pitch","pauseScreen","1","9","correct","3568","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","1","9","correct","762","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","2","7","correct","709","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","3","9","incorrect","11808","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","4","7","incorrect","1658","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","5","9","correct","1423","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","6","9","correct","1048","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","7","7","incorrect","1190","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","8","7","correct","764","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","9","7","correct","766","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","10","9","incorrect","812","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","11","9","incorrect","2642","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","12","9","correct","908","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","pauseScreen","2","9","incorrect","2958","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","1","9","correct","576","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","2","7","incorrect","859","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","3","9","incorrect","1234","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","4","9","correct","998","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","5","7","correct","1047","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","6","7","correct","673","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","7","9","correct","907","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","8","7","correct","671","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","9","7","correct","620","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","10","7","correct","675","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","11","7","correct","762","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","12","9","correct","1000","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","13","9","correct","906","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","14","7","correct","624","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","15","9","correct","999","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","16","9","incorrect","668","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit)","1678182621900","INSERT_A_NUMBER",
